id,reviewer,rating,text
,,5,뒤늦게 소식 듣고 일단 별점 먼저 주러 옴 그 사건 만으로도 얼마나 올바르고 깨어있는 분인지 느껴지네요. 살면서 일산 가본적도 없지만 여기 만큼은 돈쭐 내주러 시간 내서 꼭 가겠습니다. 대충 NO페미라떼 같은 이름으로 10만원짜리 메뉴 만들어두세용 꼭 사먹으러 가게씀>_<ㅋㅋㅋ
ChZDSUhNMG9nS0VJQ0FnSUNLeExxMkpBEAE,씅미,5,같은 여자지만 페미가 부끄럽다...ㅎ 페미분들... 사장님 개인 취향인데 이걸로 한남ㅉㅉ하면 즐거우신지...ㅎ 그러니 너네가 꼴페미 소리나 듣징...ㅎ 카페는 나중에 일산 가게 되면 꼭 들어볼게용!! 사장님 힘내세요!!!
,씅미,,
,,5,같은 여자지만 페미가 부끄럽다...ㅎ 페미분들... 사장님 개인 취향인데 이걸로 한남ㅉㅉ하면 즐거우신지...ㅎ 그러니 너네가 꼴페미 소리나 듣징...ㅎ 카페는 나중에 일산 가게 되면 꼭 들어볼게용!! 사장님 힘내세요!!!
ChZDSUhNMG9nS0VJQ0FnSUNLd05hcWZBEAE,김민성,5,"제발 좌표찍고 테러 같은 행동 마세요. 어차피 서비스가 좋지 않은 곳은 알아서 망하고, 좋은 곳은 스스로 일어서는 법입니다. 고객은 선택할 수 있는 권리가 있으니까요. 신뢰성이 전혀 없는 인터넷 글귀 하나 따위에 판단이 좌지우지 되어선 안됩니다."
,김민성,,
,,5,"제발 좌표찍고 테러 같은 행동 마세요. 어차피 서비스가 좋지 않은 곳은 알아서 망하고, 좋은 곳은 스스로 일어서는 법입니다. 고객은 선택할 수 있는 권리가 있으니까요. 신뢰성이 전혀 없는 인터넷 글귀 하나 따위에 판단이 좌지우지 되어선 안됩니다."
ChdDSUhNMG9nS0VJQ0FnSUNLd0piZHpBRRAB,김도환,5,다 좋은데 여기 의자가 좀 불안합니다. 그래서 체중100kg 이상 나가시는 분들이 별점 테러를 하시네요. 건강한 체중을 유지하시는 분들은 믿고 가시면 됩니다.
,김도환,,
,,5,다 좋은데 여기 의자가 좀 불안합니다. 그래서 체중100kg 이상 나가시는 분들이 별점 테러를 하시네요. 건강한 체중을 유지하시는 분들은 믿고 가시면 됩니다.
ChZDSUhNMG9nS0VJQ0FnSUNxNEk3RkVBEAE,정호현,5,여기가 사장님이 친절하고 개념이 충만하다는 그곳인가요? 일산에 사는 친구가 커피맛이 좋아서 자주간다고 하는데 저도 곧 갈예정입니다! ^^
,정호현,,
,,5,여기가 사장님이 친절하고 개념이 충만하다는 그곳인가요? 일산에 사는 친구가 커피맛이 좋아서 자주간다고 하는데 저도 곧 갈예정입니다! ^^
ChZDSUhNMG9nS0VJQ0FnSUNLd01HbFpnEAE,김다현,5,냄새나는 페미들을 걸러주는 아주 훌륭한 까페입니다 오염되지않아서 공기도 맑은거같아요! 사장님 최고에요~^^ 맛도 최고 운영도 최고 !!
,김다현,,
